source-Unesco Site,target-Location
Old Havana and its Fortifications,La Habana
Trinidad and theValley de los Ingenios,Sancti Spíritus
San Pedro de la Roca CastleSantiago de Cuba,Santiago de Cuba
Desembarco del Granma National Park,Granma
Viñales Valley,Pinar del Río Province
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba.,Santiago de Cuba andGuantánamo
Alejandro de Humboldt National Park,Holguín andGuantánamo
Urban Historic Centre ofCienfuegos,Cienfuegos
Historic Centre ofCamagüey,Camagüey
Changdeokgung Palace Complex,Seoul
Gochang Hwasun and Ganghwa Dolmen Sites,North Jeolla Province South Jeolla Province and Incheon
Gyeongju Historic Areas,North Gyeongsang Province
Haeinsa Temple Janggyeong Panjeon the Depositories for the Tripitaka Koreana Woodblocks,South Gyeongsang Province
Historic Villages of Korea: Hahoe andYangdong,North Gyeongsang Province
Hwaseong Fortress,Gyeonggi Province
Jeju Volcanic Island and Lava Tubes,Jeju Province
Jongmyo Shrine,Seoul
Royal Tombs of the Joseon Dynasty,Gyeonggi Province and Seoul
Seokguram Grottoand Bulguksa Temple,North Gyeongsang Province
Ban Chiang Archaeological Site,Udon Thani Province
Dong Phayayen-Khao Yai Forest Complex,Saraburi Nakhon Ratchasima Nakhon NayokPrachinburi Sa Kaeo and Buriram Provinces
Historic City of Ayutthaya,Ayutthaya province
Historic Town of Sukhothai and Associated Historic Towns,Sukhothai and Kamphaeng Phet Provinces
Thungyai-Huai Kha Khaeng Wildlife Sanctuaries,Kanchanaburi Tak and Uthai Thani Provinces
City of Graz – Historic Centre and Schloss Eggenberg,Styria
Fertö / Neusiedlersee Cultural Landscape,Burgenland andGyőr-Moson-Sopron County
Hallstatt-Dachstein /SalzkammergutCultural Landscape,Salzkammergut
Historic Centre of Salzburg,Salzburg
Historic Centre of Vienna,Austria
Palace and Gardens of Schönbrunn,Vienna
Prehistoric pile dwellings around the Alps,Austria
Semmering railway,Gloggnitz
Wachau Cultural Landscape,Wachau
City of Luxembourg: its Old Quarters and Fortifications,Luxembourg
Plitvice,Plitvička Jezera
Peristyle of Diocletian's Palace,Split
Dubra,Dubrovnik
Porec Euphrasius Basilika,Poreč
Trogir,Trogir
St. Jacobuskathedraal,Šibenik
Starigradsko polje,Hvar
Alto Douro Wine Region,Douro Region
Central Zone of the Town of Angra do Heroismo in the Azores,Terceira IslandAzores
Convent of Christ inTomar,Tomar
Cultural Landscape of Sintra,Sintra
Garrison Border Town of Elvas and its Fortifications,Elvas
Historic Centre ofÉvora,Évora
Historic Centre ofGuimarães,GuimarãesMinho Province
Historic Centre ofOporto,Porto
Landscape of the Pico Island Vineyard Culture,Pico IslandAzores
Laurisilva ofMadeira,Madeira
Monastery of Alcobaça,Alcobaça
Monastery of Batalha,Batalha
Monastery of the Hieronymitesand Tower of Belém inLisbon,Lisbon
Prehistoric Rock Art Sites in the Côa Valleyand Siega Verde,Douro Region(shared withSpain)
University of Coimbra – Alta and Sofia,Coimbra
Cave of Altamira andPaleolithic Cave Art of Northern Spain,CantabriaAsturiasBasque Country
Old Town of Segovia and itsAqueduct,Segovia
Monuments of Oviedo and the Kingdom of the Asturias,Oviedo
Historic Centre of Córdoba,Córdoba
AlhambraGeneralife andAlbayzín,Granada
Burgos Cathedral,Burgos
Monastery and Site of the Escorial,San Lorenzo de El Escorial
Works of Antoni Gaudí,Barcelona
Santiago de Compostela (Old Town),Santiago de Compostela
Old Town of Ávila with its Extra-Muros Churches,Ávila
Mudéjar Architecture of Aragon,Provinces of TeruelandZaragoza
Historic City of Toledo,Toledo
Garajonay National Park,La Gomera
Old City of Salamanca,Salamanca
CathedralAlcázar andArchivo de Indias in Seville,Seville
Old Town of Cáceres,Cáceres
Ibiza Biodiversity and Culture,Ibiza
Poblet Monastery,Vimbodí
Renaissance Monumental Ensembles ofÚbeda andBaeza,Province of Jaén
Archaeological Ensemble of Mérida,Mérida
Royal Monastery of Santa María de Guadalupe,Guadalupe
Route of Santiago de Compostela,Aragon Castile and LeónGaliciaNavarre andLa Rioja
Doñana National Park,Provinces of Huelvaand Seville
Pyrénées – Mont Perdu,Province of Huesca
Historic Walled Town of Cuenca,Cuenca
La Lonja de la Seda de Valencia,Valencia
Las Médulas,Ponferrada
Palau de la Música Catalana andHospital de Sant Pau Barcelona,Barcelona
San Millán Yuso and Suso Monasteries,San Millán de la Cogolla
Prehistoric Rock-Art Sites in the Côa Valley and Siega Verde,Castile and León (shared with Portugal)
Rock Art of the Mediterranean Basin on the Iberian Peninsula,AndalusiaAragonCastile-La ManchaCataloniaMurcia andValencia
Archaeological Ensemble of Tárraco,Tarragona
University and Historic Precinct of Alcalá de Henares,Alcalá de Henares
San Cristóbal de La Laguna,San Cristóbal de La Laguna
Palmeral of Elche,Elche
Roman Walls of Lugo,Lugo
Catalan Romanesque Churches of the Vall de Boí,Vall de Boí
Archaeological Site of Atapuerca,Atapuerca
Aranjuez Cultural Landscape,Aranjuez
Vizcaya Bridge,Portugalete
Teide National Park,Tenerife
Tower of Hercules,A Coruña
Cultural Landscape of the Serra de Tramuntana,Majorca
Heritage of Mercury.Almadén andIdrija,Almadén
Mehmed Paša Sokolović Bridge in Višegrad,Republika Srpska Sarajevo Macro Region
Old Bridge Area of the Old City of Mostar,Herzegovina-Neretva Canton
Archaeological Ruins at Moenjodaro,Sindh
Taxila,Punjab
Buddhist Ruins of Takht-i-Bahiand Neighbouring City Remains atSahr-i-Bahlol,Khyber Pakhtunkhwa
Fort andShalamar Gardens in Lahore,Punjab
Historical Monuments at Makli Thatta,Sindh
Rohtas Fort,Punjab
Sans-Souci Palace,Nord
Citadelle Laferrière,Nord
Buildings of Ramiers,Nord
Tsingy de Bemaraha Strict Nature Reserve,Melaky
Royal Hill of Ambohimanga,Analamanga
Rainforests of the Atsinananadagger,SavaAnalanjirofoHaute MatsiatraVatovavy-FitovinanyIhorombeAnosy
Fossil Hominid Sites of Sterkfontein Swartkrans Kromdraai and Environs,Sterkfontein
Mapungubwe Cultural Landscape,Limpopo Province
Richtersveld Cultural and Botanical Landscape,Northern Cape
Robben Island,Table Bay
Cape Floral Region Protected Areas,Western CapeEastern Cape
iSimangaliso Wetland Park,KwaZulu-Natal
Vredefort Dome,Vredefort
uKhahlamba / Drakensberg Park,KwaZulu-NatalLesotho
Kunya-Urgench,Dashoguz Velayet
Parthian Fortresses of Nisa,Akhal Velayet
State Historical and Cultural Park “Ancient Merv”,Mary Velayet
Sulaiman-Too Sacred Mountain,Osh Province
Historic Centre of Bukhara,Bukhara
Historic Centre of Shakhrisyabz,Kashkadarya
Itchan Kala (Khiva),Khorezm
Samarkand – Crossroads of Cultures,Samarkand
Bikini Atoll Nuclear Test Site,Ralik Chain
Chief Roi Mata's Domain,Shefa
East Rennell,Rennell and Bellona
